All-Genes	Accession-1	Names
yaiW	b0378	yaiW // b0378 // ECK0373
yaiX	b4579	yaiX // yaiF // b0362 // b0359 // ECK0359 // b4579 // ECK0356
yaiY	b0379	yaiY // b0379 // ECK0374
yaiZ	b0380	yaiZ // b0380 // ECK0375
yajC	b0407	yajC // b0407 // ECK0401
yajD	b0410	UNCLASSIFIED
yajG	b0434	yajG // b0434 // ECK0428
yajI	b0412	UNCLASSIFIED
yajL	b0424	yajL // thiJ // b0424 // ECK0418
yajO	b0419	yajO // b0419 // ECK0413
yajQ	b0426	UNCLASSIFIED
yajR	b0427	yajR // b0427 // ECK0421
ybaA	b0456	UNCLASSIFIED
ybaB	b0471	ybaB // b0471 // ECK0465
ybaE	b0445	ybaE // b0445 // ECK0439
ybaK	b0481	ybaK // b0481 // ECK0475
ybaL	b0478	ybaL // ylaA // b0478 // ECK0472
ybaM	b0466	ybaM // b0466 // ECK0460
ybaN	b0468	UNCLASSIFIED
ybaP	b0482	UNCLASSIFIED
ybaQ	b0483	ybaQ // b0483 // ECK0477
ybaT	b0486	ybaT // b0486 // ECK0480
ybaV	b0442	UNCLASSIFIED
ybaY	b0453	ybaY // b0453 // ECK0447
ybaZ	b0454	ybaZ // atl // b0454 // ECK0448
ybbA	b0495	ybbA // b0495 // ECK0489
ybbC	b0498	ybbC // b0498 // ECK0492
ybbD	b0501	ybbD // b0500 // b0501 // ECK0494
ybbJ	b0488	UNCLASSIFIED
ybbO	b0493	UNCLASSIFIED
ybbP	b0496	ybbP // b0496 // ECK0490
ybbY	b0513	ybbY // glxB4 // b0513 // ECK0506
ybcF	b0521	ybcF // arcC // b0521 // ECK0514
ybcH	b0567	ybcH // b0567 // ECK0559
ybcI	b0527	UNCLASSIFIED
ybcJ	b0528	ybcJ // b0528 // ECK0521
ybcK	b0544	ybcK // b0544 // ECK0535
ybcL	b0545	ybcL // b0545 // ECK0536
ybcM	b0546	ybcM // b0546 // ECK0537
ybcN	b0547	ybcN // b0547 // ECK0538
ybcO	b0549	ybcO // b0549 // ECK0540
ybcV	b0558	ybcV // b0558 // ECK0550
ybcW	b0559	ybcW // b0559 // ECK0551
ybcY	b0562	ybcY // b0562 // ECK0554
ybdD	b4512	UNCLASSIFIED
ybdF	b0579	UNCLASSIFIED
ybdG	b0577	ybdG // b0577 // ECK0569
ybdJ	b0580	ybdJ // b0580 // ECK0572
ybdK	b0581	ybdK // b0581 // ECK0573
ybdL	b0600	UNCLASSIFIED
ybdM	b0601	UNCLASSIFIED
ybdN	b0602	ybdN // b0602 // ECK0596
ybdR	b0608	ybdR // b0608 // ECK0602
ybdZ	b4511	ybdZ // b4511 // ECK0578
ybeD	b0631	ybeD // b0631 // ECK0624
ybeF	b0629	ybeF // b0629 // ECK0622
ybeL	b0643	UNCLASSIFIED
ybeM	b4581	ybeM // ybeH // b0626 // b0625 // ECK0619 // b4581 // ECK0618
ybeQ	b0644	ybeQ // b0644 // ECK0637
ybeR	b0645	ybeR // b0645 // ECK0638
ybeT	b0647	ybeT // b0647 // ECK0640
ybeU	b0648	UNCLASSIFIED
ybeX	b0658	ybeX // b0658 // ECK0650
ybeY	b0659	ybeY // b0659 // ECK0651
ybeZ	b0660	UNCLASSIFIED
ybfA	b0699	ybfA // b0699 // ECK0688
ybfB	b0702	UNCLASSIFIED
ybfC	b0704	ybfC // b0704 // ECK0692
ybfD	b0706	UNCLASSIFIED
ybfE	b0685	UNCLASSIFIED
ybfF	b0686	UNCLASSIFIED
ybfG	b0691	ybfG // b0690 // ECK0679 // ybfH // b0691 // ECK0678
ybfI	b4636	ybfI // b4636 // ECK4436
ybfK	b4590	ybfK // b4590 // ECK4400
ybfL	b0705	ybfL // b0705 // ECK0694
ybfO	b0703	ybfO // b0703 // ECK0691
ybfP	b0689	ybfP // b0689 // ECK0677
ybfQ	b4514	UNCLASSIFIED
ybgA	b0707	UNCLASSIFIED
ybgC	b0736	UNCLASSIFIED
ybgD	b0719	ybgD // b0719 // ECK0708
ybgE	b0735	ybgE // b0735 // ECK0724
ybgI	b0710	UNCLASSIFIED
ybgO	b0716	ybgO // b0716 // ECK0705
ybgP	b0717	ybgP // b0717 // ECK0706
ybgQ	b0718	UNCLASSIFIED
ybgS	b0753	UNCLASSIFIED
ybgU	b4735	ybgU // b4735 // ECK4592
ybgV	b4768	ybgV // b4768 // ECK4625
ybhA	b0766	ybhA // b0766 // ECK0755
ybhB	b0773	ybhB // b0773 // ECK0762
ybhC	b0772	UNCLASSIFIED
ybhD	b0768	ybhD // b0768 // ECK0757
ybhF	b0794	ybhF // b0794 // ECK0783
ybhG	b0795	ybhG // b0795 // ECK0784
ybhH	b0769	UNCLASSIFIED
ybhI	b0770	ybhI // b0770 // ECK0759
ybhJ	b0771	ybhJ // b0771 // ECK0760
ybhK	b0780	ybhK // b0780 // ECK0769
ybhL	b0786	UNCLASSIFIED
ybhM	b0787	ybhM // b0787 // ECK0776
ybhN	b0788	UNCLASSIFIED
ybhP	b0790	ybhP // b0790 // ECK0779
ybhQ	b0791	ybhQ // b0791 // ECK0780
ybhR	b0792	ybhR // b0792 // ECK0781
ybhS	b0793	ybhS // b0793 // ECK0782
ybhU	b4591	ybhU // b4591 // ECK4401
ybiA	b0798	ybiA // b0798 // ECK0787
ybiB	b0800	ybiB // b0800 // ECK0789
ybiE	b4769	ybiE // b4769 // ECK4626
ybiI	b0803	ybiI // b0803 // ECK0792
ybiJ	b0802	ybiJ // b0802 // ECK0791
ybiO	b0808	ybiO // b0808 // ECK0797
ybiR	b0818	ybiR // b0818 // ECK0808
ybiT	b0820	UNCLASSIFIED
ybiU	b0821	ybiU // b0821 // ECK0811
ybiV	b0822	UNCLASSIFIED
ybiW	b0823	UNCLASSIFIED
ybiX	b0804	UNCLASSIFIED
ybiY	b0824	ybiY // pflE // b0824 // ECK0814
ybjC	b0850	ybjC // b0850 // ECK0841
ybjD	b0876	ybjD // b0876 // ECK0867
ybjG	b0841	ybjG // b0841 // ECK0831
ybjH	b0843	ybjH // b0843 // ECK0833
ybjI	b0844	ybjI // b0844 // ECK0834
ybjJ	b0845	ybjJ // b0845 // ECK0835
ybjL	b0847	ybjL // b0847 // ECK0838
ybjM	b0848	ybjM // b0848 // ECK0839
ybjN	b0853	ybjN // b0853 // ECK0844
ybjO	b0858	ybjO // b0858 // ECK0849
ybjP	b0865	ybjP // b0865 // ECK0856
ybjQ	b0866	UNCLASSIFIED
ybjS	b0868	ybjS // b0868 // ECK0859
ybjT	b0869	UNCLASSIFIED
ybjX	b0877	UNCLASSIFIED
ycaC	b0897	ycaC // b0897 // ECK0888
ycaD	b0898	ycaD // b0898 // ECK0889
ycaI	b0913	UNCLASSIFIED
ycaK	b0901	ycaK // b0901 // ECK0892
ycaL	b0909	ycaL // b0909 // ECK0900
ycaM	b0899	ycaM // b0899 // ECK0890
ycaN	b0900	ycaN // b0900 // ECK0891
ycaO	b0905	ycaO // b0905 // ECK0896
ycaP	b0906	ycaP // b0906 // ECK0897
ycaQ	b0916	UNCLASSIFIED
ycaR	b0917	UNCLASSIFIED
ycbF	b0944	ycbF // b0944 // ECK0935
ycbJ	b0919	ycbJ // b0919 // ECK0910
ycbU	b0942	ycbU // b0942 // ECK0933
ycbV	b0943	ycbV // b0943 // ECK0934
ycbX	b0947	ycbX // b0947 // ECK0938
ycbZ	b0955	ycbZ // b0955 // ECK0946
yccA	b0970	yccA // b0970 // ECK0961
yccE	b1001	yccE // b1001 // ECK0992
yccF	b0961	UNCLASSIFIED
yccJ	b1003	yccJ // b1003 // ECK0994
yccM	b0992	yccM // b0992 // ECK0983
yccS	b0960	yccS // b0960 // ECK0951
yccU	b0965	yccU // b0965 // ECK0956
yccX	b0968	UNCLASSIFIED
ycdF	b1005	ycdF // b1005
ycdU	b1029	ycdU // b1029 // ECK1017
ycdX	b1034	UNCLASSIFIED
ycdY	b1035	ycdY // b1035 // ECK1021
ycdZ	b1036	UNCLASSIFIED
yceB	b1063	UNCLASSIFIED
yceD	b1088	yceD // b1088 // ECK1074
yceF	b1087	yceF // b1087 // ECK1072
yceH	b1067	yceH // b1067 // ECK1052
yceI	b1056	yceI // b1056 // ECK1041
yceJ	b1057	yceJ // b1057 // ECK1042
yceK	b1050	yceK // b1050 // ECK1036
yceM	b1068	UNCLASSIFIED
yceO	b1058	yceO // b1058 // ECK1043
yceQ	b1085	yceQ // b1085 // ECK1070
ycfH	b1100	ycfH // b1100 // ECK1086
ycfJ	b1110	UNCLASSIFIED
ycfK	b1154	ycfK // stfP // b1154 // ECK1140
ycfL	b1104	UNCLASSIFIED
ycfP	b1108	UNCLASSIFIED
ycfT	b1115	ycfT // b1115 // ECK1101
ycfZ	b1121	ycfZ // b1121 // ECK1107
ycgB	b1188	UNCLASSIFIED
ycgH	b4491	ycgH // b1169 // b1170 // b4491 // ECK1157
ycgI	b4521	ycgI // ymgH // b1173 // ECK1160 // b4521 // ECK1161
ycgJ	b1177	ycgJ // b1177 // ECK1165
ycgL	b1179	UNCLASSIFIED
ycgM	b1180	ycgM // b1180 // ECK1168
ycgN	b1181	UNCLASSIFIED
ycgR	b1194	ycgR // b1194 // ECK1182
ycgV	b1202	UNCLASSIFIED
ycgX	b1161	ycgX // b1161 // ECK1148
ycgY	b1196	ycgY // b1196 // ECK1184
ycgZ	b1164	ycgZ // b1164 // ECK1151
ychA	b1214	UNCLASSIFIED
ychE	b1242	ychE // b1242 // ECK1236
ychF	b1203	ychF // gtp1 // b1203 // ECK1191
ychH	b1205	ychH // b1205 // ECK1193
ychJ	b1233	ychJ // b1233 // ECK1228
ychN	b1219	ychN // b1219 // ECK1213
ychO	b1220	ychO // ychP // b1220 // ECK1214
ychQ	b1213	UNCLASSIFIED
ychS	b1228	ychS // b1228 // ECK1222
ychT	b4771	ychT // b4771 // ECK4627
yciA	b1253	UNCLASSIFIED
yciB	b1254	UNCLASSIFIED
yciC	b1255	yciC // b1255 // ECK1249
yciE	b1257	UNCLASSIFIED
yciF	b1258	UNCLASSIFIED
yciG	b1259	yciG // b1259 // ECK1253
yciH	b1282	yciH // b1282 // ECK1277
yciI	b1251	yciI // b1251 // ECK1245
yciK	b1271	yciK // b1271 // ECK1265
yciN	b1273	yciN // b1273 // ECK1267
yciO	b1267	UNCLASSIFIED
yciQ	b1268	yciQ // yciP // b1268 // ECK1262
yciT	b1284	yciT // deoT // b1284 // ECK1279
yciU	b1248	yciU // b1248 // ECK1242
yciW	b1287	yciW // b1287 // ECK1282
yciX	b4523	yciX // yciX_2 // b4523 // ECK1270
yciY	b4595	UNCLASSIFIED
yciZ	b4596	yciZ // deoL // b4596 // ECK4406
ycjD	b1289	ycjD // b1289 // ECK1284
ycjF	b1322	ycjF // b1322 // ECK1318
ycjG	b1325	ycjG // ycjH // b1325 // ECK1321
ycjM	b1309	ycjM // ggaP // b1309 // ECK1304
ycjN	b1310	ycjN // b1310 // ECK1305
ycjO	b1311	ycjO // b1311 // ECK1306
ycjP	b1312	ycjP // b1312 // ECK1307
ycjQ	b1313	UNCLASSIFIED
ycjR	b1314	UNCLASSIFIED
ycjS	b1315	UNCLASSIFIED
ycjT	b1316	ycjT // b1316 // ECK1311
ycjU	b1317	ycjU // pgmB // b1317 // ECK1312
ycjV	b1318	ycjV // b1318 // ECK1313
ycjW	b1320	ycjW // b1320 // ECK1316
ycjX	b1321	ycjX // b1321 // ECK1317
ycjY	b1327	ycjY // b1327 // ECK1324
ydaE	b4526	ydaE // b4526 // ECK1349
ydaF	b4527	UNCLASSIFIED
ydaG	b1355	ydaG // gatA // b1355 // ECK1353
ydaS	b1357	ydaS // b1357 // ECK1355
ydaT	b1358	ydaT // b1358 // ECK1356
ydaU	b1359	ydaU // b1359 // ECK1357
ydaV	b1360	ydaV // b1360 // ECK1358
ydaW	b1361	ydaW // b1361 // ECK1359
ydaY	b1366	ydaY // b1366 // ECK1364
ydbA	b4492	ydbA // b1401 // b1405 // b4492 // ECK1398
ydbD	b1407	ydbD // b1407 // ECK1400
ydbH	b1381	ydbH // b1381 // ECK1378
ydbJ	b4529	ydbJ // b4529 // ECK1375
ydbK	b1378	ydbK // pfo // b1378 // ECK1374
ydbL	b1383	ydbL // b1383 // ECK1380
ydcA	b1419	ydcA // b1419 // ECK1411
ydcC	b1460	UNCLASSIFIED
ydcD	b1457	ydcD // b1457 // ECK1451
ydcF	b1414	UNCLASSIFIED
ydcH	b1426	ydcH // b1426 // ECK1419
ydcI	b1422	ydcI // b1422 // ECK1416
ydcJ	b1423	ydcJ // b1423 // ECK1417
ydcK	b1428	ydcK // b1428 // ECK1421
ydcL	b1431	UNCLASSIFIED
ydcO	b1433	ydcO // b1433 // ECK1427
ydcR	b1439	ydcR // b1439 // ECK1433
ydcS	b1440	ydcS // b1440 // ECK1434
ydcT	b1441	ydcT // b1441 // ECK1435
ydcU	b1442	ydcU // b1442 // ECK1436
ydcV	b1443	ydcV // b1443 // ECK1437
ydcY	b1446	ydcY // b1446 // ECK1440
ydcZ	b1447	UNCLASSIFIED
yddA	b1496	yddA // b1496 // ECK1490
yddB	b1495	yddB // b1495 // ECK1489
yddE	b1464	UNCLASSIFIED
yddG	b1473	yddG // b1473 // ECK1467
yddH	b1462	UNCLASSIFIED
yddJ	b1470	yddJ // b1470 // ECK1464
yddK	b1471	yddK // b1471 // ECK1465
yddL	b1472	yddL // b1472 // ECK1466
yddM	b1477	yddM // b1477 // ECK1471
yddY	b4746	yddY // b4746 // ECK4603
ydeA	b1528	ydeA // b1528 // ECK1521
ydeE	b1534	ydeE // ydeF // b1534 // ECK1527
ydeI	b1536	ydeI // b1536 // ECK1529
ydeJ	b1537	UNCLASSIFIED
ydeM	b1497	ydeM // b1497 // ECK1491
ydeN	b1498	ydeN // b1498 // ECK1492
ydeO	b1499	ydeO // b1499 // ECK1493
ydeP	b1501	ydeP // b1501 // ECK1494
ydeQ	b1502	ydeQ // b1502 // ECK1495
ydeR	b1503	ydeR // b1503 // ECK1496
ydeS	b1504	ydeS // b1504 // ECK1497
ydeT	b1505	ydeT // fmlC // b1505 // ECK1498
ydfA	b1571	ydfA // b1571 // ECK1565
ydfB	b1572	ydfB // b1572 // ECK1566
ydfC	b1573	ydfC // b1573 // ECK1567
ydfD	b1576	ydfD // b1576 // ECK1570
ydfE	b1577	ydfE // b1577 // ECK1571
ydfG	b1539	ydfG // b1539 // ECK1532
ydfI	b1542	ydfI // b1542 // ECK1535
ydfJ	b1543	ydfJ // ydfJ_2 // b1543 // ECK1536
ydfK	b1544	ydfK // b1544 // ECK1537
ydfO	b1549	ydfO // b1549 // ECK1543
ydfR	b1555	ydfR // b1555 // ECK1549
ydfT	b1559	ydfT // quuQ // b1559 // ECK1553
ydfU	b1560	ydfU // b1560 // ECK1554
ydfV	b1565	ydfV // b1565 // ECK1559
ydfW	b1567	ydfW // intK // b1567 // ECK1561
ydfX	b1568	ydfX // b1568 // ECK1562
ydfZ	b1541	ydfZ // b1541 // ECK1534
ydgA	b1614	UNCLASSIFIED
ydgC	b1607	ydgC // b1607 // ECK1602
ydgD	b1598	ydgD // b1598 // ECK1593
ydgH	b1604	ydgH // b1604 // ECK1599
ydgI	b1605	ydgI // arcD // b1605 // ECK1600
ydgJ	b1624	ydgJ // b1624 // ECK1619
ydgK	b1626	UNCLASSIFIED
ydgU	b4601	UNCLASSIFIED
ydhF	b1647	ydhF // b1647 // ECK1643
ydhI	b1643	ydhI // b1643 // ECK1639
ydhJ	b1644	UNCLASSIFIED
ydhK	b1645	ydhK // b1645 // ECK1641
ydhL	b1648	UNCLASSIFIED
ydhP	b1657	ydhP // b1657 // ECK1653
ydhQ	b1664	UNCLASSIFIED
ydhR	b1667	UNCLASSIFIED
ydhS	b1668	ydhS // b1668 // ECK1664
ydhT	b1669	UNCLASSIFIED
ydhU	b1670	ydhU // b1670 // ECK1666
ydhV	b1673	ydhV // b1673 // ECK1669
ydhW	b1672	ydhW // b1672 // ECK1668
ydhX	b1671	ydhX // b1671 // ECK1667
ydhY	b1674	ydhY // b1674 // ECK1670
ydiB	b1692	ydiB // b1692 // ECK1690
ydiE	b1705	UNCLASSIFIED
ydiF	b1694	ydiF // b1694 // ECK1692
ydiH	b1685	ydiH // b1685 // ECK1682
ydiJ	b1687	ydiJ // b1687 // ECK1684
ydiK	b1688	UNCLASSIFIED
ydiL	b1689	UNCLASSIFIED
ydiM	b1690	ydiM // b1690 // ECK1688
ydiN	b1691	ydiN // b1691 // ECK1689
ydiO	b1695	ydiO // b1695 // ECK1693
ydiP	b1696	ydiP // b1696 // ECK1694
ydiQ	b1697	ydiQ // b1697 // ECK1695
ydiR	b1698	ydiR // b1698 // ECK1696
ydiS	b1699	ydiS // b1699 // ECK1697
ydiT	b1700	ydiT // b1700 // ECK1698
ydiY	b1722	ydiY // b1722 // ECK1720
ydiZ	b1724	ydiZ // b1724 // ECK1722
ydjA	b1765	UNCLASSIFIED
ydjE	b1769	ydjE // b1769 // ECK1767
ydjF	b1770	ydjF // b1770 // ECK1768
ydjG	b1771	ydjG // b1771 // ECK1769
ydjH	b1772	ydjH // b1772 // ECK1770
ydjI	b1773	ydjI // b1773 // ECK1771
ydjJ	b1774	ydjJ // b1774 // ECK1772
ydjK	b1775	ydjK // b1775 // ECK1773
ydjL	b1776	ydjL // b1776 // ECK1774
ydjM	b1728	ydjM // b1728 // ECK1726
ydjO	b1730	ydjO // b1730 // ECK1728
ydjX	b1750	UNCLASSIFIED
ydjY	b1751	ydjY // b1751 // ECK1749
ydjZ	b1752	ydjZ // b1752 // ECK1750
yeaC	b1777	UNCLASSIFIED
yeaD	b1780	UNCLASSIFIED
yeaE	b1781	yeaE // b1781 // ECK1779
yeaG	b1783	yeaG // b1783 // ECK1781
yeaH	b1784	UNCLASSIFIED
yeaK	b1787	yeaK // b1787 // ECK1785
yeaL	b1789	yeaL // b1789 // ECK1787
yeaO	b1792	yeaO // b1792 // ECK1790
yeaQ	b1795	UNCLASSIFIED
yeaR	b1797	UNCLASSIFIED
yeaV	b1801	yeaV // b1801 // ECK1799
yeaW	b1802	UNCLASSIFIED
yeaX	b1803	UNCLASSIFIED
yeaY	b1806	yeaY // b1806 // ECK1804
yebB	b1862	yebB // b1862 // ECK1863
yebC	b1864	UNCLASSIFIED
yebE	b1846	UNCLASSIFIED
yebF	b1847	yebF // b1847 // ECK1848
yebG	b1848	yebG // b1848 // ECK1849
yebK	b1853	yebK // hexR(P.a.) // b1853 // ECK1854
yebO	b1825	yebO // b1825 // ECK1823
yebQ	b1828	yebQ // b1828 // ECK1827
yebV	b1836	yebV // b1836 // ECK1835
yebW	b1837	yebW // b1837 // ECK1836
yebY	b1839	yebY // b1839 // ECK1840
yebZ	b1840	UNCLASSIFIED
yecA	b1908	UNCLASSIFIED
yecD	b1867	yecD // b1867 // ECK1868
yecE	b1868	UNCLASSIFIED
yecF	b1915	yecF // b1915 // ECK1914
yecH	b1906	yecH // b1906 // ECK1905
yecJ	b4537	yecJ // b4537 // ECK1901
yecM	b1875	yecM // yecL // b1875 // ECK1876
yecN	b1869	yecN // b1869 // ECK1870
yecR	b1904	yecR // b1904 // ECK1903
yecT	b1877	yecT // b1877 // ECK1878
yecU	b4752	yecU // b4752 // ECK4609
yecV	b4778	yecV // b4778 // ECK4635
yedA	b1959	yedA // b1959 // ECK1957
yedD	b1928	yedD // b1928 // ECK1927
yedE	b1929	yedE // b1929 // ECK1928
yedF	b1930	yedF // b1930 // ECK1929
yedI	b1958	yedI // b1958 // ECK1956
yedJ	b1962	UNCLASSIFIED
yedK	b1931	yedK // yedG // b1931 // ECK1930
yedL	b1932	yedL // b1932 // ECK1931
yedN	b4495	yedN // b1934 // yedM // b1935 // ECK1933 // b1933 // b4495 // ECK1932
yedP	b1955	UNCLASSIFIED
yedS	b4496	yedS // b1964 // yedT // b1965 // b1966 // b4496 // ECK1962
yeeA	b2008	yeeA // b2008 // ECK2002
yeeH	b4639	yeeH // b4639 // ECK4437
yeeJ	b1978	UNCLASSIFIED
yeeL	b4497	yeeL // yeeK // b1980 // b1979 // b4497 // ECK1975
yeeN	b1983	UNCLASSIFIED
yeeO	b1985	yeeO // b1985 // ECK1980
yeeP	b1999	yeeP // b1999 // ECK1991
yeeR	b2001	yeeR // b2001 // ECK1994
yeeS	b2002	yeeS // b2002 // ECK1995
yeeT	b2003	yeeT // b2003 // ECK1996
yeeW	b2006	yeeW // b2006 // ECK1999
yeeY	b2015	yeeY // b2015 // ECK2009
yeeZ	b2016	yeeZ // b2016 // ECK2010
yefM	b2017	yefM // b2017 // ECK2012
yegD	b2069	yegD // b2069 // ECK2063
yegH	b2063	yegH // b2063 // ECK2057
yegI	b2070	yegI // b2070 // ECK2064
yegJ	b2071	yegJ // b2071 // ECK2065
yegL	b2073	UNCLASSIFIED
yegP	b2080	yegP // b2080 // ECK2076
yegR	b2085	yegR // b2085 // ECK2081
yegS	b2086	yegS // b2086 // ECK2082
yegT	b2098	yegT // b2098 // ECK2091
yegU	b2099	yegU // b2099 // ECK2092
yegV	b2100	yegV // b2100 // ECK2093
yegW	b2101	yegW // b2101 // ECK2094
yegX	b2102	yegX // b2102 // ECK2095
yegZ	b2083	yegZ // b2083 // ECK2080
yehA	b2108	yehA // b2108 // ECK2101
yehB	b2109	yehB // b2109 // ECK2102
yehC	b2110	yehC // b2110 // ECK2103
yehD	b2111	yehD // b2111 // ECK2104
yehE	b2112	yehE // b2112 // ECK2105
yehF	b2115	yehF // molR_1 // sosF // dinO // b2115 // ECK2108
yehH	b4499	yehH // molR // b2116 // yehG // b2117 // b4499 // ECK2108
yehI	b2118	UNCLASSIFIED
yehK	b4541	yehK // b4541 // ECK2110
yehL	b2119	UNCLASSIFIED
yehM	b2120	yehM // yehO // yehN // b2120 // ECK2112
yehP	b2121	yehP // b2121 // ECK2113
yehQ	b2122	yehQ // b2122 // ECK2114
yehR	b2123	yehR // b2123 // ECK2115
yehS	b2124	UNCLASSIFIED
yehW	b2128	yehW // b2128 // ECK2121
yehX	b2129	yehX // b2129 // ECK2122
yehY	b2130	yehY // b2130 // ECK2123
yeiB	b2152	yeiB // b2152 // ECK2145
yeiE	b2157	yeiE // b2157 // ECK2150
yeiG	b2154	yeiG // b2154 // ECK2147
yeiH	b2158	yeiH // b2158 // ECK2151
yeiI	b2160	yeiI // b2160 // ECK2153
yeiL	b2163	yeiL // b2163 // ECK2156
yeiP	b2171	yeiP // b2171 // ECK2165
yeiQ	b2172	yeiQ // b2172 // ECK2166
yeiR	b2173	UNCLASSIFIED
yeiS	b2145	yeiS // b2145 // ECK2138
yeiW	b4502	UNCLASSIFIED
yejA	b2177	yejA // b2177 // ECK2171
yejB	b2178	yejB // b2178 // ECK2172
yejE	b2179	yejE // b2179 // ECK2173
yejF	b2180	yejF // b2180 // ECK2174
yejG	b2181	UNCLASSIFIED
yejK	b2186	yejK // ndpA // b2186 // ECK2180
yejL	b2187	UNCLASSIFIED
yejO	b2190	yejO // b2190 // ECK2184
yfaA	b2230	yfaA // pufY // b2230 // ECK2222
yfaE	b2236	yfaE // b2236 // ECK2228
yfaH	b2238	yfaH // b2238 // ECK2230
yfaL	b2233	UNCLASSIFIED
yfaP	b2225	yfaP // b2225 // ECK2218
yfaQ	b2226	yfaQ // b2226 // ECK2219
yfaS	b4500	yfaS // yfaR // b2228 // b2227 // b4500 // ECK2220
yfaT	b2229	yfaT // b2229 // ECK2221
yfaU	b2245	yfaU // b2245 // ECK2238
yfaV	b2246	yfaV // b2246 // ECK2239
yfaX	b2248	yfaX // b2248 // ECK2241
yfaY	b2249	UNCLASSIFIED
yfaZ	b2250	UNCLASSIFIED
yfbK	b2270	UNCLASSIFIED
yfbL	b2271	yfbL // b2271 // ECK2265
yfbM	b2272	yfbM // b2272 // ECK2266
yfbN	b2273	yfbN // b2273 // ECK2267
yfbO	b2274	yfbO // b2274 // ECK2268
yfbP	b2275	yfbP // b2275 // ECK2269
yfbR	b2291	yfbR // b2291 // ECK2285
yfbS	b2292	yfbS // b2292 // ECK2286
yfbU	b2294	UNCLASSIFIED
yfbV	b2295	yfbV // b2295 // ECK2289
yfcA	b2327	UNCLASSIFIED
yfcC	b2298	yfcC // b2298 // ECK2292
yfcD	b2299	yfcD // b2299 // ECK2293
yfcE	b2300	UNCLASSIFIED
yfcF	b2301	yfcF // b2301 // ECK2295
yfcG	b2302	yfcG // b2302 // ECK2296
yfcH	b2304	yfcH // b2304 // ECK2298
yfcJ	b2322	yfcJ // b2322 // ECK2316
yfcL	b2325	yfcL // b2325 // ECK2319
yfcO	b2332	yfcO // b2332 // ECK2326
yfcP	b2333	yfcP // b2333 // ECK2327
yfcQ	b2334	yfcQ // b2334 // ECK2328
yfcR	b2335	yfcR // b2335 // ECK2329
yfcS	b2336	yfcS // b2336 // ECK2330
yfcU	b4661	yfcU // ECK2331 // yfcT // b2338 // b2337 // b4661 // ECK2332
yfcV	b2339	yfcV // b2339 // ECK2333
yfcZ	b2343	UNCLASSIFIED
yfdC	b2347	yfdC // b2347 // ECK2341
yfdE	b2371	yfdE // b2371 // ECK2367
yfdF	b2345	yfdF // b2345 // ECK2339
yfdG	b2350	yfdG // gtrA // b2350 // ECK2344
yfdH	b2351	yfdH // gtrB // b2351 // ECK2345
yfdI	b2352	yfdI // gtrS // gtrIV // b2352 // ECK2346
yfdK	b2354	yfdK // b2354 // ECK2348
yfdL	b2355	yfdL // b2355 // ECK2349
yfdM	b2356	yfdM // yzyB // b2356 // ECK2350
yfdN	b2357	yfdN // yzyA // b2357 // ECK2351
yfdO	b2358	yfdO // oweS // b2358 // ECK2352
yfdP	b2359	yfdP // b2359 // ECK2353
yfdQ	b2360	yfdQ // b2360 // ECK2354
yfdR	b2361	yfdR // b2361 // ECK2355
yfdS	b2362	yfdS // b2362 // ECK2356
yfdT	b2363	yfdT // b2363 // ECK2357
yfdV	b2372	yfdV // b2372 // ECK2368
yfdX	b2375	UNCLASSIFIED
yfdY	b2377	yfdY // b2377 // ECK2373
yfeC	b2398	yfeC // b2398 // ECK2392
yfeD	b2399	yfeD // b2399 // ECK2393
yfeH	b2410	yfeH // b2410 // ECK2404
yfeK	b2419	UNCLASSIFIED
yfeN	b2408	yfeN // b2408 // ECK2402
yfeO	b2389	yfeO // b2389 // ECK2385
yfeR	b2409	yfeR // b2409 // ECK2403
yfeS	b2420	yfeS // b2420 // ECK2415
yfeW	b2430	yfeW // b2430 // ECK2425
yfeX	b2431	UNCLASSIFIED
yfeY	b2432	yfeY // b2432 // ECK2427
yfeZ	b2433	yfeZ // b2433 // ECK2428
yffB	b2471	yffB // b2471 // ECK2466
yffL	b2443	yffL // b2443 // ECK2438
yffM	b2444	yffM // b2444 // ECK2439
yffN	b2445	yffN // b2445 // ECK2440
yffO	b2446	yffO // b2446 // ECK2441
yffP	b2447	yffP // b2447 // ECK2442
yffQ	b2448	yffQ // b2448 // ECK2443
yffR	b2449	yffR // b2449 // ECK2444
yffS	b2450	yffS // b2450 // ECK2445
yfgD	b2495	yfgD // b2495 // ECK2491
yfgG	b2504	yfgG // b2504 // ECK2500
yfgH	b2505	UNCLASSIFIED
yfgI	b2506	UNCLASSIFIED
yfgJ	b2510	yfgJ // b2510 // ECK2506
yfgM	b2513	UNCLASSIFIED
yfgO	b2493	yfgO // perM // b2493 // ECK2489
yfhH	b2561	yfhH // b2561 // ECK2559
yfhL	b2562	yfhL // b2562 // ECK2560
yfhM	b2520	yfhM // b2520 // ECK2516
yfhR	b2534	yfhR // b2534 // ECK2531
yfiB	b2605	yfiB // b2605 // ECK2602
yfiC	b2575	yfiC // trmM // b2575 // ECK2573
yfiE	b2577	yfiE // b2577 // ECK2575
yfiF	b2581	yfiF // b2581 // ECK2579
yfiH	b2593	UNCLASSIFIED
